class,text
0,วันนี้เข้าไปซื้อเบอร์เกอร์คิง สาขาปั๊มน้ำมันตรงถนนแจ้งวัฒนะ สั่งสินค้าไปหลายอย่าง จนพนักงานนำสินค้ามาให้ แต่ลืมเช็คสินค้า พอกลับถึงบ้าน ก็พบว่าไม่ได้รับเฟรนฟราย์ ความจริงก็คิดว่าเป็นความผิดเราเองนะที่ไม่เช็คของก่อน เพราะก็เคยมีประสบการณ์จากสาขาอื่นมาแล้วเหมือนกัน ที่ให้ของไม่ครบ แต่ก็ไม่คิดว่าจะเจออีกครั้ง เสียความรู้สึกจริงๆ ค่ะ น่าจะให้พนักงานตรวจสินค้าให้ลูกค้าให้ครบก่อนที่จะส่งให้ลูกค้าได้มั้ยคะ เพราะบางทีลูกค้าก็ไว้ใจ และบางทีก็รีบ เลยไม่ได้คิดจะตรวจดูอีกที เจอมาสองครั้งแล้วกับเบอร์เกอร์คิงค่ะ
0,วันนี้โทรไปสั่งดิลิเวอร์รี่ตั้งแต่ 1 ทุ่ม 45 นาที จนป่านนี้เวลา สามทุ่ม 12 นาที ยังไม่ได้รับสินค้า โทรไปตาม 4 รอบ บอกว่าจะตามให้แล้วโทรกลับ ตอนนี้ยังไม่โทรมาเลยค่ะ
0,สนใจลูกค้าบ้าง แล้วก็ช่วยพิจารณาด้วยว่าลูกค้าท่านไหนมาก่อนมาหลัง ไม่ใช่อยากถามใครก็ถาม คนมาก่อนยืนรอไปเถอะไม่สนใจ คนมาหลังสั่งเอาสั่งเอา มารยาทไม่มี พนักงานก็ไม่สนใจ ...แย่ @esso wangnoit
0,สนามบินนานาชาติภูเก็ต สกปรกมาก แมลงวันหลายสิบตัวบินยังกับร้านอาหารริมถนน ต้อนรับนักท่องเที่ยววันละหลายพันคน น่าขายหน้า!!!
0,สั่ง Double Mushroom Swiss XL กลับมาถึงบ้านกลายเป็น Double Cheese Burger ไม่โอเคเลย สาขาอเวนิวแจ้งวัฒนะ
0,สั่งchicken strip กลับบ้านเปิดกล่องมาไก่ดำมากมีผงดำรอบแป้งไม่รู้ว่าน้ำมันหรือทอดนานควรดูก่อนให้ลูกค้าทำมาตรฐานเสีย
0,สั่งของแล้วไม่มาส่ง ยกเลิก order ไม่บอกลูกค้า ต้องโทรตามเอง ไม่รับผิดชอบเลยนะคะ พอโทรไปถามบอกว่า พนักงานไม่รู้ทาง พื้นที่ที่ส่งนอกเขตพื้นที่ให้บริการ แล้วทำไมไม่บอกตั้งแต่โทรไปสั่งคะ และบอกว่าส่งทั่วกรุงเทพฯ พระราม 9 นี่ไกลมากเลยนะคะ แย่มากๆคะ
0,สั่งชุด extra long chicken + fish'n crisp burger1ชิ้น พนง มาส่ง พอเปิดดูไม่มีโค้กแคน มาให้ พนง กลับไปแล้ว เลยโทรบอก1112 พนง บอกจะให้สาขาที่ส่งติดต่อกลับ สรุปหายเงียบไปเลย
0,สั่งพายบลูเบอร์รี่กลับบ้านได้พายเผือกแทน
0,"สั่งพายเผือกข้าวเหนียวดำ .... ได้พายไก่...ประเด็นคือ... ข้าพเจ้าทานมังสวิรัติ"
1,"ชอบมากอยากให้มีที่ปราจีนบุรีด้วย"
1,burger อร่อย บรรยากาศร้านดีมีเสียงดนตรี
1,crunchy bbq bacon whopper อร่อยมากๆๆๆ
1,Hloha ชอบมากๆ อร่อย ทุกอย่าง
1,กิน บ่อยค่ะ Burger King หลายสาขาค่ะ แถวสยาม ทองหล่อ แอร์พอร์ตสุวรรณภูมิ คือกินมาหลายที่ แต่ว่า #Burger #King #สาขา #เอ็มโพเรี่ยม #บริการได้ประทับใจมากๆค่ะ คือ ปลื้ม ค่ะ บริการดี พูดดี ยิ้มแย้ม น่ารักทุกคน และใส่ใจลูกค้าค่ะ ไปสี่ครั้งก็ประทับใจทุกครั้ง ค่ะ ขอให้เป็นแบบนี้ตลอดค่ะ นะค่ะ รัก Burger King สาขา Emporium ค่ะ
1,กินประจำเลยค่ะเนื้ออร่อย ฟุดๆ
1,ของชอบมากครับ อร่อยมากครับ ราคาก็ไม่แพงครับ.
1,ของน่ากินคะ่ไม้แพงด้วย
1,"ขอบคุณมากเลยพนักงานใจดีสาขาเดอมอล์บางกะปิ. พี่ทำของร่วงจัดมาให้ไหม่"
1,คุ้มค่าคุ้มราคา รับฟังพรัอมเเก้ปันหา ดีต่อใจที่สุด ทำไมจาไม่รักหละ 
1,เคยกินทีหัวหิน หร่อยไปเลย แต่สาขาน้อยไป ฮ่าๆ
1,งํ่าๆ อร่อยครับ ชิ้นเดียวอิ่ม ชัวร์ มาสคอตน่ารักด้วย ตุ้กตาก็น่ารัก
1,เจ๋งครับ
1,ฉันชอบ
1,ชอบ อร่อย ชิ้นหญ่ม๊ากกกก
1,"ชอบburger king มากๆอยู่แล้ว แต่ล่าสุดชามะนาวหวานมากกกกกกกกกกกกกกกไม่น่าจะหวานได้ขนาดนี้ เหมือนน้ำเชื่อมเข้มข้นเลยค่ะกินทีเบาหวานแน่นอน5555 ปรับปรุงด่วนๆน้าาา"
1,"ชอบค่ะ กลางคืนโอเคเลยนะ คนไม่เยอะพนักงานบริการดี"
0,ขอร้องเรียน Supervisor ผู้หญิง ที่สาขา centralworld มารยาททราม จิตใจต่ำ อาหารที่ทำมาก็คงม่ะต่างกันครับ ทำผิดไม่รับผิด เป็นถึงหัวหน้างานแท้ๆ ด่าเสียงดัง ขึ้นมึงกู ไอ้เหี้ยไอ้สัตว์ มีคนแบบนี้ในบริษัทได้อย่างไร เสียดายที่ทานเบอร์เกอร์คิงมานาน ทาง hc ปล่อยให้คนอย่างนี้มาทำงานได้อย่างไร
0,ควรที่จะต้องปรับปรุงมารยาทพนักงาน โดยเฉพาะที่สาขาพารากอน ไปกินบ่อย แต่ทุกครั้งเจอคนขายไม่มีอัธยาศัยโดยสิ้นเชิง สักแต่จะขายให้จบคิวไป อมดอกพิกุลทุกคน ถามอะไรก็ใช้หน้าใช้คางโบ้ยเอา กระแทกถาดดังโครมๆ ถือว่าขายดีเลยกากๆหน่อยก็ได้ใช่มั้ย แต่ทำไม macDonald's เพื่อนบ้านเค้ายังบริการได้ดีอยู่ตลอด ไม่เคยเจอปัญหานี้เลยเวลาเข้าร้านเค้า ทักทาย ขอบคุณ กระตือรือล้นทุกคน ที่บอกมาเพราะชอบ burger ของคุณนะ เลยยอมไปกิน มิน่า slogan ถึงพูดว่า It just tastes better บริการห่วยแตกช่างหัวมันใช่มั้ย
0,ควรใส่ใจในการตรวจสอบสินค้ามากกว่านี้ ไปมา2 รอบ ขาดของรอบนึง อีกรอบสลับเมนู สั่งไก่ ได้ปลา
0,คืนวันที่ 26 มค. 60 ไปใช้บริการ Burger King สาขารามอินทรา(ป๊มเอสโซ่) ซื้ออาหารชุดChicken crisp BBQ cheese รับแบบ take away ปรากฏว่าในเซ็ตที่จัดให้ลูกค้า ไม่มี chicken tenders(พนง.หลงลืมหรือเพราะว่า?) และชิ้นไก่ก็บางมากๆ เหมือนโดนเอาเปรียบอย่างรุนแรง รู้สึกแย่มากๆกับการบริการและคุณภาพอาหารในครั้งนี้ อยากให้ปรับปรุงด้วย
0,"ช่วง 2-3 ทุ่มไปใช้บริการที่หน้าร้าน ลูกค้าต่อคิวกันยาวพนักงานหญิงรับรายการอาหาร ลักษณะอวบๆ หน้าตาไม่เป็นมิตรเลยค่ะน้ำเสียงที่พูดกับคำพูดที่ใช้กับลูกค้าและหัวหน้างานไม่เหมาะที่จะเป็นพนักงานกับแบรนด์ เบอร์เกอร์คิงก์ เลยค่ะตำหนิ พนักงาน : ทำสีหน้าไม่พอใจ น้ำเสียงใส่อารมกับลูกค้าตอนรับออเดอร์ หัวหน้าเลยบอกให้ต้อนรับลูกค้าดีๆ แต่พนักงานผู้หญิงกลับทำน้ำเสียงไม่พอใจ และพูดจาไม่ดีกับหัวหน้างานทั้งๆๆที่รับออเดอร์ลูกค้าอยู่ ซึ่งไม่เหมาะสมเลยชมเชย หัวหน้างาน : บริการลูกค้าดีใจเย็น พูดจาอบรมพนักงาน แต่โดนพนักงานอารมณ์เสียใส่ในขณะที่จัดอาหารให้ลูกค้า แต่ใจเย็นยิ้มแย้มต่อลูกค้าค่ะอยากให้ปรับปรุงเรื่องพนักงานไม่มีความเคารพหัวหน้าและไม่ค่อยสนใจในการทำงานค่ะ"
0,ดูภาพwhopperที่ได้เทียบกับโฆษณาแล้วเอาไปปรับปรุงด้วย
0,"เดี๋ยวนี้คุณภาพ รสชาติตกลงเยอะมาก เบอร์เกอร์ที่ไม่ใช่วอปเปอร์แทบจะไม่ต่างกับเบอร์เกอร์ตลาดนัดเลยสาขาที่เปิด24ชม.(โดยเฉพาะมอเตอร์เวย์ขาออก)ยกเว้นทองหล่อนี่พนักงานทำแบบขอไปที บางทีขนมปังก็ร้อนไม่ทั่วแผ่นด้วยผิดหวังกับเบอร์เกอร์คิงมากในระยะหลังๆ"
0,"เดี๋ยวนี้เฟรนฟรายเค็มมากค่ะไม่รู้ว่า เกลือถูก หรือ พนักงานกลัวลูกค้าจะขาดไอโอดีนเวลาซื้อนักเก็ต ก็ลืมใส่ซอสให้ ต้องคอยทวงตลอด"
0,ตั้งใจไปกินเลยค่ะ เลิกงาน ตี1 เช็คในเว็บดู สาขาปั๊มเชลลร่มเกล้า เปิด 24ชม แต่ปิดซะง้าน ยังไงอัพเดตเวลาเปิดปิดด้วยนะคะ เสียอารม อุตส่าหิ้วท้องไปกิน
0,ตั้งแต่เริ่มขยายสาขามากขึ้น คุณภาพก็แย่ก็แย่ลงทุกครั้ง. ปริมาณก็น้อยลง
1,ชอบใช้ที่ MBK. ชั้น3ค่ะ ประทับใจหลากหลาย ทั้งสะดวก บริการดี ผจก.น่ารักค่ะ
1,ชอบเบอร์เกอร์ของเบอร์เกอร์คิงมาก ๆ เสียดายสาขาไกลบ้านไปหน่อย
1,ชอบไปนั่งทาน milkshake ที่สาขาทองหล่อ บรรยากาศดีมากๆ 
1,ชอบเฟรนฟราย เบอร์เกอร์ที่นี่ที่สุดแล้ว 
1,ชอบมากๆ ค่ะ แล้วก็ดีใจที่มาเปิดใกล้ๆ บ้าน แถมสาขานี้เปิด 24 ชม. อีกด้วย อยากให้รักษาคุณภาพอย่างนี้ไว้ไปตลอดๆ เลยนะคะ
1,ชอบมากๆ อร่อย
1,ชอบมากครับ
1,"ชอบมากครับ ชอบที่สุด แต่ขอเรียกร้องได้หม๊ายยย อยากให้ระยองมี Burger King!!!!! กว่าจะได้กิน ถ้าไม่วิ่งมามอเตอร์เวย์ก็ไม่มีทางได้กินน๊าๆๆ ๆๆ ขอ Burger King แด่ชาวระยองด้วยน๊าาาาคร๊าาาบ"
1,ชอบมากสำหรับคุณภาพและรสชาติของ burger king อยากให้เปิดสาขาแถวปิ่นเกล้าบ้าง
0,"แต่เช้าเลย!!! สั่งชุดครัวซองเนื้อ+น้ำส้ม กับชุดข้าวเหนียวไก่ ได้สินค้ามาแล้วก็รีบกิน เพราะรีบเดินทางไม่ได้มีเวลาเช็คของ พอมาคิดได้อ้าว!!! แล้วน้ำส้มล่ะ??? ไม่ได้ใส่มาให้...คือดีงามเนอะ!!! สั่งแค่นี้ พนง. ไม่มีปัญญาเช็คสินค้าให้ลูกค้าก่อนส่งให้ลูกค้าเหรอ มีช่องไดร์ฟไว้ให้สำหรับลูกค้าที่รีบไม่ใช่เหรอ แล้วแบบนี้คราวหน้าจะไปทวงคืนได้มั้ย เพราะมันเป็นทางผ่าน (ขอคำตอบ!!!)#เบอร์เกอร์คิง สาขาปั้มเชล์ล ฉะเชิงเทรา"
0,ถ้าจะมี delivery น้อยขนาดนี้ อย่าเปิดเลย
0,ทำไมสาขาที่แกรนด์ไดมอนด์ประตูน้ำ บริการแย่มาก ขอซอสพริกเพิ่มก็ไม่ให้ น้ำก็ไม่ใส่ถุงให้ จะไปทานที่้บ้านเข้าใจบ้างนะ ไม่มือที่จะถือ เสียความรุ้สึกมากๆ
0,โทรสั่งเบอร์เกอร์คิง 21.49 มาถึงเวลา 22.07 ทุกอย่างแลไม่มีปัญหาอะไร พอจ่ายเงินกับพนักงาน แสดงอาการกระชากเงินกับมือคืออะไร
0,บริการแย่มากนะคะ ยืนต่อแถวอยู่มีต่างชาติมาแซงคิว ทำให้เค้าก่อนเฉยเลยค่ะ คนที่ยืนเครื่องเห็นนะคะว่าเรายืนอยู่แต่รับออเดอร์ที่แซงคิวเราหน้าตาเฉย ไม่ขอโทษเราซักคำ!!! แบบนี้แย่นะคะ #The Streetรัชดา
0,บริการอาหารลูกค้าผิดพลาดบ่อยที่สุด วันนี้สุดทนละค่ะ สั่ง DB cheese burger 2 ที่ แต่ได้เบอร์เกอร์แบบธรรมดามาทั้งสองเลย เอาเปรียบที่สุด แย่มาก!
0,"เบอร์เกอร์คิง สาขาสนามบินดอนเมืองฝั่งเกท 4x-7xเวลาเช้าประมาณ 10โมงครึ่ง พนักงานผู้หญิง (เปิดเคาน์เตอร์เดียว)คือยืนเข้าคิวสั่งอาหารในแถวนานมาก เจอฝรั่งแซงคิว และเบี่ยงแถวไปเคาท์เตอร์ที่ปิดอยู่ แต่นี่เราโดนพนักงานหันไปรับออเดอร์ลูกค้าคนอื่น แล้วไล่เรากลับให้กลับไปต่อแถวใหม่คืออะไรคะ?? นี่โกรธมากนะ จำแถวตัวเองไม่ได้เหรอคะว่าอยู่ตรงไหน นี่ไม่ได้ย้ายที่ยืนเลยด้วย เสียความรู้สึกมากค่ะถ้าจะเป็นแบบนี้ แนะนำให้เอาเส้นยืด+เสา มากั้นแถวให้ชัดเจนไปเลย น้องพนักงานจะได้ไม่สับสน"
0,ปกติทานที่สาขาแจ้งวัฒนะอร่อยมากแต่วันนี้ผ่านมาทางประชาชื่น ลองซื้อกลับบ้านบริการแย่มากพนักงานหน้าบึ้งพูดเร็วเนื้อเหมือนอันเก่ามาอุ่น เซ็งมากค่ะ
0,ประกาศรางวัลตั้งแต่วันที่4 ละ จนวันนี้วันที่16ยังไม่ได้เลยอะ แจกจริงรึป่าววววววว!!!ถ้าไม่ได้จะแฉทุกกิจกรรมเลยคอยดู
0,"เป็นคนชอบกิรเฟรนฟราย BK มาก แต่ล่าสุดมากินสาขา street รู้สึกว่า เฟรนฟรายเปลี่ยนไปหรือป่าว อันเล็กลง เมื่อก่อนจะหนาใหญ่ รู้สึกแย่เอาแบบเก่ากับมาเถอะ แบบนี้กินแมคก็ได้"
1,ดีครับ
1,"ดีชอบมาก แต่เบอร์เผ็ดกินได้แต่ปลา ไม่แปลกที่ไม่ค่อยถูกปากคนไทย ฝรั่งเค้าชอบมากกว่าแม็คอีก"
1,เดี๋ยวนี้ราคาแพงเวอร์ เบอร์เกอร์คุณภาพแย่ลงแต่ก็ยังอร่อย hb อร่อยมาก สาขาน้อยหากินยากไปหน่อยนี่สิ
1,ตอนแรกคิดว่าเป็นไอติมคาราเมลอย่างเดียวอ่ะแต่ๆๆๆ มีกาแฟมาด้วย ดับเบิ้ลค่าาาา
1,ถ้าเทียบกับร้านลักษณะแบบเดียวกันอย่าง K. หรือ M. ยังไง Burger King ก็กินขาด สาขาน้อยไปหน่อยแต่ก็ขยายสาขาเรื่อยๆ ดีใจที่มาเปิดใกล้ office สักที
1,ทานบ่อยมากค่ะ รสชาติอร่อยทีเดียวเลย
1,น่ากินทุกอย่างเลย
1,น่าทานอร่อยดีครับ
